created_at,entry_id,field1,field2,field3,field4,field5,field6
20181024_154842,133,-1.264,4.022,9.462,19.1786,72.95062,10.35874626
20181024_154843,134,-1.992,4.405,9.194,19.17864,72.95056,10.38757551
20181024_154844,135,-1.225,3.447,7.393,19.17868,72.95052,8.248568542
20181024_154845,136,-1.762,4.213,9.423,19.17873,72.95048,10.47124357
20181024_154846,137,-1.494,5.976,8.351,19.17876,72.95046,10.37708114
20181024_154847,138,-4.328,3.217,7.853,19.17878,72.95042,9.526294243
20181024_154848,139,-4.75,6.359,4.941,19.1788,72.95039,9.349484585
20181024_154849,140,-3.639,7.546,5.209,19.17882,72.95036,9.864994577
20181024_154850,141,-4.673,6.78,5.324,19.17883,72.95034,9.805626191
20181024_154851,142,-3.715,4.52,7.7,19.17884,72.95032,9.67065794
20181024_154852,143,-5.133,5.363,5.286,19.17884,72.9503,9.113246074
20181024_154853,144,-4.405,6.818,4.328,19.17885,72.95028,9.198952821
20181024_154854,145,-4.941,6.704,6.091,19.17886,72.95025,10.31781847
20181024_154855,146,-4.213,5.095,8.121,19.17886,72.95022,10.471821
20181024_154856,147,-4.635,4.711,6.32,19.17887,72.9502,9.144350496
20181024_154857,148,-0.881,3.102,16.664,19.17888,72.95018,16.9731394
20181024_154858,149,-0.344,4.98,9.5,19.17888,72.95016,10.73166977
20181024_154859,150,-0.804,5.095,9.538,19.17889,72.95015,10.84337978
20181024_154900,151,0.229,5.669,6.742,19.1789,72.95014,8.811615402
20181024_154901,152,-2.834,8.006,7.776,19.17892,72.95011,11.51493673
20181024_154902,153,-3.371,7.278,6.32,19.17892,72.95008,10.21152902
20181024_154903,154,-2.26,6.512,4.022,19.17892,72.95008,7.980615766
20181024_154904,155,-0.996,4.941,5.937,19.17891,72.95002,7.788033513
20181024_154905,156,-0.191,7.47,6.933,19.17891,72.94998,10.19332478
20181024_154906,157,-0.498,6.359,8.466,19.1789,72.94993,10.59990759
20181024_154907,158,0.153,7.125,8.351,19.17889,72.94989,10.97853519
20181024_154908,159,0.957,6.359,8.581,19.17889,72.94989,10.72316609
20181024_154909,160,0.421,5.746,9.615,19.17891,72.94982,11.20901343
20181024_154910,161,0.421,6.972,8.083,19.17891,72.94978,10.68273907
20181024_154911,162,-0.996,7.125,6.742,19.17891,72.94975,9.859624993
20181024_154912,163,-1.149,4.903,7.585,19.17891,72.94972,9.104495318
20181024_154913,164,-0.459,7.163,3.409,19.1789,72.94968,7.946101623
20181024_154914,165,0.459,6.818,2.604,19.17889,72.94966,7.312771089
20181024_154915,166,1.494,9.615,4.673,19.17889,72.94964,10.79431285
20181024_154916,167,-0.727,7.355,5.822,19.1789,72.94962,9.408519437
20181024_154917,168,2.451,9.385,2.451,19.17892,72.94958,10.00465027
20181024_154918,169,0.191,9.27,5.899,19.179,72.94957,10.98943047
20181024_154919,170,-1.455,4.75,6.32,19.17906,72.94956,8.038776337
20181024_154920,171,-2.221,9.807,6.972,19.17913,72.94955,12.23596641
20181024_154921,172,0.306,8.198,8.925,19.1792,72.94954,12.12256017
20181024_154922,173,0.804,8.006,10.764,19.17926,72.94953,13.43897868
20181024_154923,174,0.421,7.01,6.704,19.17933,72.94952,9.708808217
20181024_154924,175,0.459,5.286,10.19,19.17939,72.94952,11.48862816
20181024_154925,176,-6.704,10.534,2.375,19.17946,72.94952,12.71020838
20181024_154926,177,1.187,2.911,10.036,19.17951,72.94952,10.51685248
20181024_154927,178,0.229,1.532,-5.937,19.17956,72.94951,6.135750484
20181024_154928,179,-9.04,4.903,5.516,19.17961,72.9495,11.66992995
20181024_154929,180,-6.282,5.363,5.018,19.17968,72.94949,9.664658142
20181024_154930,181,-6.704,6.474,4.558,19.17974,72.94948,10.37456775
20181024_154931,182,3.639,13.446,2.336,19.17981,72.94948,14.1242392
20181024_154932,183,1.608,14.212,5.286,19.17988,72.94946,15.24822626
20181024_154933,184,0.842,8.619,4.52,19.17994,72.94945,9.768650111
20181024_154934,185,1.838,8.466,2.566,19.17999,72.94944,9.035250744
20181024_154935,186,-0.344,11.99,5.363,19.18004,72.94943,13.13926197
20181024_154936,187,-3.486,13.024,4.711,19.1801,72.94942,14.28181687
20181024_154937,188,-0.344,8.389,9.194,19.18016,72.94939,12.45083503
20181024_154938,189,0.383,8.581,6.933,19.18022,72.94938,11.03842104
20181024_154939,190,-2.758,8.657,4.788,19.18029,72.94937,10.27010988
20181024_154940,191,0.268,7.738,6.474,19.18035,72.94936,10.0926282
20181024_154941,192,-2.068,5.899,3.524,19.18041,72.94936,7.175890258
20181024_154942,193,-2.949,8.581,3.83,19.18047,72.94936,9.848810182
20181024_154943,194,-2.375,8.964,2.796,19.18053,72.94938,9.685635601
20181024_154944,195,-1.455,8.236,2.413,19.18059,72.94938,8.704670585
20181024_154945,196,-2.375,8.772,6.32,19.18065,72.94938,11.06937257
20181024_154946,197,-3.486,9.002,6.972,19.18072,72.94939,11.90785388
20181024_154947,198,-1.11,7.853,4.597,19.18078,72.9494,9.16701249
20181024_154948,199,0.612,7.393,3.562,19.18086,72.9494,8.229145581
20181024_154949,200,-2.413,6.244,8.044,19.18092,72.9494,10.46499121
20181024_154950,201,1.34,6.282,10.151,19.181,72.94941,12.01257362
20181024_154951,202,0.076,5.478,5.631,19.18106,72.94941,7.856361817
20181024_154952,203,-0.459,8.351,4.06,19.18112,72.9494,9.296960901
20181024_154953,204,-1.187,9.27,4.405,19.18117,72.9494,10.33179045
20181024_154954,205,-1.187,8.121,6.78,19.18122,72.9494,10.64556293
20181024_154955,206,2.451,5.401,6.55,19.18127,72.9494,8.836328536
20181024_154956,207,-0.612,6.704,6.474,19.18131,72.9494,9.339744964
20181024_154957,208,-0.804,8.542,12.948,19.18135,72.9494,15.53263931
20181024_154958,209,2.03,7.202,8.312,19.18138,72.9494,11.18387446
20181024_154959,210,-0.268,7.048,4.711,19.18141,72.9494,8.481724412
20181024_155000,211,-5.133,8.006,2.643,19.18144,72.9494,9.870621764
20181024_155001,212,0.766,4.29,4.443,19.18147,72.9494,6.223431931
20181024_155002,213,-0.421,7.47,6.972,19.1815,72.9494,10.22677491
20181024_155003,214,-0.306,5.861,6.665,19.18153,72.9494,8.880719678
20181024_155004,215,-2.911,4.826,6.244,19.18157,72.9494,8.411404936
20181024_155005,216,-0.191,6.205,5.286,19.1816,72.9494,8.153545364
20181024_155006,217,-2.221,4.558,9.347,19.18165,72.94941,10.63365478
20181024_155007,218,-1.264,4.175,7.47,19.18169,72.94942,8.650388488
20181024_155008,219,-3.486,10.381,12.833,19.18174,72.94942,16.87018808
20181024_155009,220,-0.344,4.29,11.032,19.1818,72.94942,11.8417676
20181024_155010,221,-0.804,2.834,7.087,19.18185,72.94942,7.674864233
20181024_155011,222,0.229,7.316,4.941,19.18189,72.94942,8.831182141
20181024_155012,223,-0.689,3.907,5.822,19.18193,72.94942,7.045214972
20181024_155013,224,0.574,6.167,9.347,19.18197,72.94942,11.21283969
20181024_155014,225,-0.689,4.711,5.478,19.18202,72.94942,7.25787338
20181024_155015,226,-2.145,6.091,5.937,19.18207,72.94942,8.772073586
20181024_155016,227,-2.873,5.286,5.899,19.18213,72.94942,8.425801208
20181024_155017,228,0.766,6.205,11.262,19.18219,72.94941,12.88104906
20181024_155018,229,0.881,4.328,6.665,19.18224,72.94941,7.995621927
20181024_155019,230,0.153,5.133,6.397,19.1823,72.9494,8.203213212
20181024_155020,231,1.8,9.155,10.343,19.18235,72.9494,13.92952526
20181024_155021,232,-3.869,6.435,8.159,19.1824,72.9494,11.0881769
20181024_155022,233,0.881,6.052,6.32,19.18245,72.94939,8.794615682
20181024_155023,234,-2.911,4.558,7.202,19.18251,72.94939,9.006558111
20181024_155024,235,-3.217,5.593,3.869,19.18257,72.94938,7.523290437
20181024_155025,236,-0.191,8.466,3.869,19.18263,72.94938,9.310144897
20181024_155026,237,-1.915,9.462,7.585,19.18269,72.94937,12.27716962
20181024_155028,238,-3.562,11.645,4.903,19.18275,72.94936,13.127577
20181024_155029,239,-1.072,8.044,1.149,19.18281,72.94936,8.19605521
20181024_155030,240,-1.8,8.581,3.83,19.18288,72.94937,9.567782449
20181024_155031,241,-1.34,6.129,5.631,19.18294,72.94937,8.430207708
20181024_155032,242,-1.838,9.079,5.056,19.18302,72.9494,10.55318061
20181024_155033,243,-6.857,7.546,2.681,19.1831,72.9494,10.54269064
20181024_155034,244,-0.651,7.814,7.508,19.18317,72.9494,10.85598733
20181024_155035,245,-3.486,6.665,-0.191,19.18322,72.94937,7.524021664
20181024_155036,246,-0.536,7.24,7.24,19.18326,72.94934,10.25292622
20181024_155037,247,-1.264,5.248,8.389,19.18329,72.9493,9.975696517
20181024_155038,248,-1.608,4.137,8.198,19.18331,72.94926,9.322426562
20181024_155039,249,-2.298,4.482,5.171,19.18332,72.94922,7.218612678
20181024_155040,250,-0.881,5.439,7.202,19.18331,72.9492,9.06794828
20181024_155041,251,-0.727,6.205,7.01,19.1833,72.94918,9.389923003
20181024_155042,252,-0.153,7.968,5.554,19.1833,72.94918,9.713874047
20181024_155043,253,-0.191,7.623,5.937,19.1833,72.94919,9.664087075
20181024_155044,254,-0.383,7.968,5.937,19.1833,72.9492,9.944027454
20181024_155045,255,0.038,7.891,5.478,19.1833,72.9492,9.606133926
20181024_155046,256,-0.038,7.738,5.554,19.1833,72.9492,9.524967402
20181024_155047,257,-0.229,7.891,5.669,19.1833,72.9492,9.718944541
20181024_155048,258,0.038,7.738,5.593,19.1833,72.9492,9.547760837
20181024_155049,259,-0.421,7.585,6.512,19.1833,72.9492,10.00577883
20181024_155050,260,0,7.853,6.052,19.1833,72.9492,9.914449707
20181024_155051,261,-0.076,7.853,5.937,19.1833,72.9492,9.844965922
20181024_155052,262,0.076,7.814,5.746,19.1833,72.9492,9.699530298
20181024_155053,263,-0.076,7.7,5.861,19.1833,72.9492,9.677143018
20181024_155054,264,-0.114,7.814,6.091,19.1833,72.9492,9.908172031
20181024_155055,265,-0.038,7.585,6.091,19.1833,72.9492,9.727998252
20181024_155056,266,0.038,7.968,5.707,19.1833,72.9492,9.801036527
20181024_155057,267,-0.191,7.776,6.474,19.1833,72.9492,10.1200461
20181024_155058,268,0.114,7.661,6.282,19.1833,72.9492,9.907948375
20181024_155059,269,-0.153,7.929,6.627,19.1833,72.9492,10.33487199
20181024_155100,270,-0.114,7.7,6.359,19.1833,72.9492,9.986985381
20181024_155101,271,0.153,7.585,6.167,19.1833,72.9492,9.776887184
20181024_155102,272,0.229,7.814,6.244,19.1833,72.9492,10.00492744
20181024_155103,273,-0.076,7.776,5.822,19.1833,72.9492,9.714300592
20181024_155104,274,0.114,7.661,5.861,19.1833,72.9492,9.646514293
20181024_155105,275,0.076,7.7,7.355,19.1833,72.9492,10.64855863
20181024_155106,276,0.038,7.891,6.167,19.1833,72.9492,10.01504938
20181024_155107,277,0.038,7.7,6.014,19.1833,72.9492,9.770344927
20181024_155108,278,0.114,7.623,6.014,19.1833,72.9492,9.710371826
20181024_155109,279,-0.153,7.776,5.861,19.1833,72.9492,9.738629575
20181024_155110,280,0.229,7.393,6.55,19.1833,72.9492,9.879847671
20181024_155111,281,0,7.661,6.474,19.1833,72.9492,10.03013445
20181024_155112,282,0,7.738,6.129,19.1833,72.9492,9.871235232
20181024_155113,283,0,7.623,5.937,19.1833,72.9492,9.662199439
20181024_155114,284,0.114,7.661,6.205,19.1833,72.9492,9.859307379
20181024_155115,285,-0.153,7.508,5.324,19.1833,72.9492,9.205348934
20181024_155116,286,0.153,7.7,6.474,19.1833,72.9492,10.06111748
20181024_155117,287,0.114,7.891,5.707,19.1833,72.9492,9.73913374
20181024_155118,288,0.306,7.585,6.205,19.1833,72.9492,9.804482954
20181024_155119,289,0.153,7.47,6.32,19.1833,72.9492,9.786046648
20181024_155120,290,-0.038,7.47,6.244,19.1833,72.9492,9.736009449
20181024_155121,291,0.114,7.623,6.014,19.1833,72.9492,9.710371826
20181024_155122,292,0.038,7.393,6.359,19.1833,72.9492,9.751654936
20181024_155123,293,0.038,7.431,6.282,19.1833,72.9492,9.730607843
20181024_155124,294,0.153,7.393,6.244,19.1833,72.9492,9.67819167
20181024_155125,295,-0.038,7.661,6.589,19.1833,72.9492,10.10481499
20181024_155126,296,0.114,7.814,6.397,19.1833,72.9492,10.09916833
20181024_155127,297,0.114,7.7,6.244,19.1833,72.9492,9.914158159
20181024_155128,298,0.114,7.431,6.129,19.1833,72.9492,9.633140609
20181024_155129,299,-0.229,7.585,6.167,19.1833,72.9492,9.778371797
20181024_155130,300,0,7.508,6.282,19.1833,72.9492,9.789463111
20181024_155131,301,-0.038,7.623,6.32,19.1833,72.9492,9.90222061
20181024_155132,302,0.306,7.393,6.742,19.1833,72.9492,10.01022722
20181024_155133,303,0.306,7.355,6.55,19.1833,72.9492,9.853535457
20181024_155134,304,0.191,7.393,6.972,19.1833,72.9492,10.16374508
20181024_155135,305,0.306,7.355,6.704,19.1833,72.9492,9.95656954
20181024_155136,306,0.114,7.355,6.129,19.1833,72.9492,9.57463639
20181024_155137,307,0.076,7.316,6.167,19.1833,72.9492,9.568778449
20181024_155138,308,0.038,7.316,6.512,19.1833,72.9492,9.794459863
20181024_155139,309,0.038,7.202,5.822,19.1833,72.9492,9.260989796
20181024_155140,310,0.114,7.24,6.704,19.1833,72.9492,9.86783725
20181024_155141,311,-0.038,7.431,6.359,19.1833,72.9492,9.780495182
20181024_155142,312,0.191,7.202,6.627,19.1833,72.9492,9.788892379
20181024_155143,313,-0.153,7.316,6.32,19.1833,72.9492,9.669005378
20181024_155144,314,0.191,7.163,6.665,19.1833,72.9492,9.786075567
20181024_155145,315,0.421,7.048,6.435,19.1833,72.9492,9.553050298
20181024_155146,316,-0.153,7.278,6.742,19.1833,72.9492,9.922059111
20181024_155147,317,0.268,7.087,7.048,19.1833,72.9492,9.99858475
20181024_155148,318,-0.229,7.202,9.194,19.1833,72.9492,11.68121916
20181024_155149,319,0.766,8.121,2.566,19.1833,72.9492,8.551125832
20181024_155150,320,3.409,9.921,7.24,19.1833,72.9492,12.74618068
20181024_155151,321,-0.383,7.891,6.359,19.1833,72.9492,10.14157044
20181024_155152,322,-0.229,9.002,0.536,19.1833,72.9492,9.020850348
20181024_155153,323,2.068,2.643,11.415,19.1833,72.9492,11.89807959
20181024_155154,324,1.034,8.734,5.822,19.1833,72.9492,10.54739759
20181024_155155,325,0.612,7.853,6.589,19.1833,72.94919,10.26932685
20181024_155156,326,-3.945,6.972,5.401,19.1833,72.94917,9.661397932
20181024_155157,327,-1.225,7.623,3.064,19.1833,72.94915,8.306554641
20181024_155158,328,2.451,5.018,5.324,19.1833,72.94912,7.71574371
20181024_155159,329,-0.306,8.198,6.014,19.1833,72.94909,10.17197306
20181024_155200,330,-2.336,7.316,3.83,19.18331,72.94907,8.581937543
20181024_155201,331,0,9.692,4.099,19.18332,72.94904,10.52314901
20181024_155202,332,1.455,8.734,1.915,19.18334,72.94901,9.05908417
20181024_155203,333,0.574,6.244,5.478,19.18337,72.94898,8.326193368
20181024_155204,334,0.038,8.81,5.669,19.18341,72.94895,10.47640707
20181024_155205,335,-1.57,6.129,7.47,19.18345,72.94892,9.789302376
20181024_155206,336,-0.957,2.949,3.677,19.1835,72.9489,4.809654769
20181024_155207,337,1.57,6.205,5.018,19.18356,72.94888,8.133095905
20181024_155208,338,3.141,7.316,7.7,19.18361,72.94886,11.07608852
20181024_155209,339,-1.685,7.7,7.24,19.18366,72.94882,10.70265504
20181024_155210,340,-0.881,5.554,10.688,19.18372,72.9488,12.07710317
20181024_155211,341,-2.106,5.631,5.861,19.18377,72.94876,8.396113267
20181024_155212,342,-3.102,6.397,8.581,19.18382,72.94874,11.14349918
20181024_155213,343,2.911,8.504,7.776,19.18388,72.9487,11.88520564
20181024_155214,344,-1.034,5.056,4.252,19.18393,72.94866,6.686687969
20181024_155215,345,-0.574,8.236,6.627,19.18398,72.94862,10.58670397
20181024_155216,346,3.256,7.738,8.236,19.18403,72.94858,11.76052193
20181024_155217,347,2.49,5.899,6.627,19.18408,72.94854,9.214956864
20181024_155218,348,0.114,5.478,7.24,19.18414,72.9485,9.079596907
20181024_155219,349,1.494,6.933,6.589,19.18419,72.94845,9.680570541
20181024_155220,350,1.953,6.32,4.711,19.18425,72.9484,8.120968538
20181024_155221,351,2.145,7.125,4.328,19.1843,72.94835,8.608033109
20181024_155222,352,3.907,8.657,3.792,19.18436,72.9483,10.22680605
20181024_155223,353,-1.379,6.435,7.546,19.18442,72.94825,10.01264111
20181024_155225,354,4.52,10.113,7.929,19.18448,72.9482,13.62248913
20181024_155226,355,0.996,8.504,9.385,19.18453,72.94815,12.7038678
20181024_155227,356,2.183,4.98,10.956,19.18459,72.9481,12.23110073
20181024_155228,357,0.689,5.056,7.125,19.18465,72.94806,8.763759581
20181024_155229,358,0.459,8.657,14.518,19.1847,72.94802,16.90936587
20181024_155230,359,-0.038,3.562,7.087,19.18475,72.94799,7.931888615
20181024_155231,360,-0.114,4.673,8.044,19.18479,72.94796,9.30354024
20181024_155232,361,4.98,5.018,14.02,19.18484,72.94793,15.70162807
20181024_155233,362,1.57,4.06,12.258,19.18488,72.94791,13.00796156
20181024_155234,363,0.651,3.984,4.941,19.18491,72.94789,6.380402652
20181024_155235,364,1.57,5.937,7.125,19.18495,72.94786,9.406300761
20181024_155236,365,-0.919,4.367,11.722,19.18498,72.94784,12.54274826
